application_year,survey_id,participated,external_id,info_venture_country,info_venture_country_hq,info_has_website,info_has_facebook,info_has_twitter,info_has_linkedin,info_founding_year,info_legal_status,info_sector,info_financial_goals,info_has_targetmargin,info_target_margin,info_has_socialmotives,model_prodmanuf,model_procpack,model_distribution,model_wholretail,model_services,model_finserv,model_unsure,model_invention_based,model_has_patents,model_has_copyrights,model_has_trademarks,model_patents_sincefound,model_copyrights_sincefound,model_trademarks_sincefound,fins_revenues_m1,fins_revenues_sincefound,fins_revenues_current_partial,fins_profit_m1,fins_ft_employees_m1,fins_pt_employees_m1,fins_wages_m1,inv_ownmoney_m1,inv_ownmoney_current_partial,inv_ownmoney_sincefound,inv_equityfrom_angels,inv_equityfrom_companies,inv_equityfrom_govt,inv_equityfrom_venturecap,inv_equityfrom_na,inv_equityfrom_other,inv_outequity_m1,inv_outequity_current_partial,inv_outequity_sincefound,inv_debtfrom_banks,inv_debtfrom_nonbankfin,inv_debtfrom_govt,inv_debtfrom_companies,inv_debtfrom_family,inv_debtfrom_nonowneremp,inv_debtfrom_otherinds,inv_debtfrom_other,inv_totaldebt_m1,inv_totaldebt_current_partial,inv_totaldebt_sincefound,inv_hasconvdebt,inv_totaldebt_pctconv_m1,inv_totaldebt_pctconv_sincefound,inv_philanfrom_companies,inv_philanfrom_govt,inv_philanfrom_nonprofits,inv_philanfrom_accelerators,inv_philanfrom_friendsfamily,inv_philanfrom_bpcs,inv_philanfrom_crowd,inv_philanfrom_nonowneremp,inv_philanfrom_otherinds,inv_philanfrom_anothersource,inv_philan_m1,inv_philan_current_partial,inv_philan_sincefound,inv_plans_outequity_12months,inv_plans_debt_12months,inv_plans_philan_12months,inv_plans_outequity_3years,inv_plans_debt_3years,inv_plans_philan_3years,found_name1_present,found_name2_present,found_name3_present,found_additional_cnt,found_name1_age,found_name2_age,found_name3_age,found_name1_gender,found_name2_gender,found_name3_gender,found_name1_born,found_name2_born,found_name3_born,found_name1_resides,found_name2_resides,found_name3_resides,found_name1_education,found_name2_education,found_name3_education,found_name1_prior_fp,found_name2_prior_fp,found_name3_prior_fp,found_name1_prior_other,found_name2_prior_other,found_name3_prior_other,found_name1_prior_np,found_name2_prior_np,found_name3_prior_np,found_name1_job1_orgtype,found_name1_job2_orgtype,found_name2_job1_orgtype,found_name2_job2_orgtype,found_name3_job1_orgtype,found_name3_job2_orgtype,found_name1_job1_role,found_name1_job2_role,found_name2_job1_role,found_name2_job2_role,found_name3_job1_role,found_name3_job2_role,found_name1_job1_tenure,found_name1_job2_tenure,found_name2_job1_tenure,found_name2_job2_tenure,found_name3_job1_tenure,found_name3_job2_tenure,found_name1_job1_country,found_name1_job2_country,found_name2_job1_country,found_name2_job2_country,found_name3_job1_country,found_name3_job2_country,impact_area_water,impact_area_educ,impact_area_energy,impact_area_finsrv,impact_area_information,impact_area_housing,impact_area_agprod,impact_area_biodiv,impact_area_capacity,impact_area_commdev,impact_area_conflres,impact_area_disease,impact_area_employ,impact_area_fueleff,impact_area_equality,impact_area_food,impact_area_charity,impact_area_health,impact_area_humrights,impact_area_incgrowth,impact_area_natbio,impact_area_wastemgt,impact_area_efficiency,impact_area_sustenergy,impact_area_landuse,impact_area_highimpact,impact_area_watresmgmt,impact_area_womengirls,impact_area_other,impact_demog_group,impact_socioecon_group,impact_use_iris,impact_reason_noiris,impact_use_blab_giirs,impact_reason_noblab_giirs,impact_use_othermeasure,accel_ben_rank_network,accel_ben_rank_business_skills,accel_ben_rank_mentorship,accel_ben_rank_access_investors,accel_ben_rank_direct_funding,accel_ben_rank_access_entreprene,accel_ben_rank_aware_cred,report_any_prior_accelerator
2013,S_1M2WkWvUFHUeB,1,ID-13-1625,Netherlands,Netherlands,1,0,0,0,2010,2,1,2,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1060000,0,0,2,4,10,240000,0,0,7000,0,0,0,0,0,0,0,0,14000,1,0,0,0,1,0,0,0,55000,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,36,35,,2,2,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,1,1,,,3,2,3,2,,,3,4,2,5,,,Netherlands,Netherlands,Netherlands,Netherlands,,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,2,1,2,1,2,4,7,1,2,3,6,5,0
2013,S_1M2WkWvUFHUeB,0,ID-13-2145,Netherlands,Netherlands,0,0,0,0,2010,4,3,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,27,,,2,,,Netherlands,,,Netherlands,,,12,,,0,0,0,0,0,0,0,0,0,3,1,,,,,3,3,,,,,1,2,,,,,Netherlands,Netherlands,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,3,2,1,2,1,2,4,1,2,5,6,3,7,0
2013,S_1M2WkWvUFHUeB,0,ID-13-1151,United Kingdom of Great Britain and Northern Ireland,Bulgaria,1,0,0,0,2012,2,,2,1,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,800,0,0,1,5,0,23000,5000,0,0,0,0,0,0,0,1,66000,0,66000,1,0,0,0,0,0,0,0,5000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,27,27,28,2,1,1,Bulgaria,Bulgaria,Bulgaria,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Bulgaria,12,12,12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,3,3,3,3.5,2.5,1,3,3,4,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,2,1,2,1,6,3,2,5,7,4,1
2013,S_1M2WkWvUFHUeB,0,ID-13-2282,Netherlands,Netherlands,1,0,0,0,2013,2,6,2,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,250000,0,0,1,6,2,100,350,0,400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,52,45,,1,1,,Canada,Netherlands,,Belgium,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,1,,,,1,1,2,,,,4,8,10,,,,France,France,Netherlands,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,6,5,2,1,2,1,2,3,5,3,1,1,3,1,1
2013,S_1M2WkWvUFHUeB,0,ID-13-1601,United States of America,United States of America,1,0,0,0,2013,2,5,2,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,15000,0,0,0,0,1,0,0,0,20000,0,0,0,0,1,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,150000,1,1,1,,27,48,37,1,1,1,Netherlands,Netherlands,Netherlands,United States of America,United States of America,Netherlands,12,12,12,0,0,0,0,0,0,0,0,0,1,2,3,1,2,1,4,2,1,1,2,3,1,2,5,6,2,2,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,4,1,,1,,2,4,3,1,2,7,5,6,0
2013,S_1M2WkWvUFHUeB,0,ID-13-679,Netherlands,Netherlands,1,0,0,0,2010,2,2,2,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,135000,0,0,3,0,0,0,6750,0,13000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,44,47,,1,2,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,2,1,,,,,2,2,,,,,Netherlands,Netherlands,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,1,2,1,2,3,4,5,2,1,7,6,0
2013,S_1M2WkWvUFHUeB,1,ID-13-1534,Netherlands,Netherlands,1,0,0,0,2011,2,2,2,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,650000,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140000,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,29,28,30,1,1,1,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,3,3,12,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,,4,2,1,2,1,2,,,,,,,,1
2013,S_1M2WkWvUFHUeB,0,ID-13-698,Lesotho,Lesotho,1,0,0,0,2011,2,5,2,1,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,50,0,80000,100000,0,150000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,400000,0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350000,0,0,1000000,1,1,0,,58,30,,1,1,,South Africa,Netherlands,,Lesotho,Netherlands,,12,5,,0,0,0,0,0,0,0,0,0,1,1,,,,,1,2,,,,,4,4,,,,,Lesotho,Netherlands,,,,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,4,3,2,1,2,1,2,1,7,6,3,2,5,4,0
2013,S_1M2WkWvUFHUeB,0,ID-13-1351,Netherlands,Netherlands,1,0,0,0,2011,2,16,2,2,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,300000,0,0,1,5,0,50000,35000,0,35000,0,0,1,1,0,0,220000,0,0,0,1,0,0,0,0,0,0,80000,0,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000,0,0,0,0,0,0,1,1,0,,32,29,,1,1,,Netherlands,Netherlands,,Netherlands,Netherlands,,3,12,,0,0,0,0,0,0,0,0,0,2,1,1,1,,,2,2,1,3,,,0.5,0.5,1,1,,,Netherlands,Netherlands,Netherlands,Netherlands,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,5,2,1,2,1,2,6,4,3,7,2,1,5,1
2013,S_1M2WkWvUFHUeB,0,ID-13-1516,Netherlands,Netherlands,1,0,0,0,2012,2,16,2,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,13000,0,13000,0,1,0,0,0,1,83000,0,140000,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,30,35,,1,1,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,,1,3,,,1,,4,4,,,3,,3.5,3.5,,,Netherlands,,Netherlands,Netherlands,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,2,2,2,2,2,1,5,6,7,3,4,2,0
2013,S_1M2WkWvUFHUeB,1,ID-13-1840,Netherlands,Netherlands,1,0,0,0,2008,2,16,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,324000,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33000,0,0,0,0,0,0,0,0,1,1,0,,32,30,,2,2,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,3,3,,,,,1,1,,,,,Netherlands,Italy,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,2,1,2,4,3,1,1,3,3,3,0
2013,S_1M2WkWvUFHUeB,0,ID-13-1938,Netherlands,Netherlands,1,0,0,0,2005,2,1,2,2,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,450000,0,0,3,2,0,150000,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,47,47,,1,1,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,4,4,,,,,15,15,,,,,Netherlands,Netherlands,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,3,2,5,2,5,2,1,4,3,2,3,5,6,0
2013,S_1M2WkWvUFHUeB,0,ID-13-845,Netherlands,Netherlands,1,0,0,0,2013,3,5,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,400000,0,0,4,1,2,0,50000,0,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,0,75000,0,0,90000,0,0,0,1,1,0,,46,43,,1,1,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,2,2,,,,,16,6,,,,,Netherlands,Netherlands,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,2,1,2,1,2,6,1,3,7,5,4,2,0
2013,S_1M2WkWvUFHUeB,0,ID-13-1015,Netherlands,Netherlands,1,0,0,0,2013,2,5,2,2,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,0,300,0,0,0,0,0,1,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,1,1,0,,25,29,,1,1,,Germany,Chile,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,4,4,,,,,1,3,,,,,Germany,Chile,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,2,1,2,1,2,2,3,7,4,1,6,5,0
2013,S_1M2WkWvUFHUeB,0,ID-13-2517,Netherlands,Netherlands,0,0,0,0,2013,2,12,2,2,0,1,1,1,1,1,1,0,0,1,1,1,0,2,1,0,0,0,0,2,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80000,0,0,500000,0,0,500000,1,1,0,,30,26,,1,1,,United States of America,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,3,2,,,,,2,1,,,,,Netherlands,Netherlands,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,4,2,1,2,1,2,1,7,4,3,6,3,5,1
2013,S_1M2WkWvUFHUeB,0,ID-13-2823,Gambia,Netherlands,1,0,0,0,2008,4,6,2,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,200,0,0,2,0,5,5000,20,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,63,0,0,14,0,0,28,1,1,0,,59,38,,1,2,,Netherlands,Netherlands,,Netherlands,Netherlands,,12,5,,0,0,0,0,0,0,0,0,0,1,1,3,1,,,2,2,4,3,,,5,8,1,2,,,Netherlands,Netherlands,Netherlands,Netherlands,,,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,2,1,2,2,6,5,1,3,7,4,0
2013,S_1M2WkWvUFHUeB,0,ID-13-3346,Netherlands,Netherlands,0,0,0,0,2013,3,6,2,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0,0,0,1,1,0,,34,27,,2,1,,Guatemala,Netherlands,,Netherlands,Netherlands,,12,12,,0,0,0,0,0,0,0,0,0,1,1,,,,,4,3,,,,,3,3,,,,,Netherlands,Netherlands,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,4,2,1,2,1,2,1,4,5,2,6,7,3,0
